,tweet
1121, मोदी आणि फसवणीस सरकारच्या पापाची हंडी आज व तसेच सहित काँग्रेस नेत्यांनी फोडली केली 
1122, जून रोजी जे निसर्ग चक्रीवादळ झाले त्यामध्ये जुन्नर तालुक्यातील अनेक द्राक्ष बागांचे तसेच इतर पिकांचे खूप मोठ्या प्रमाणात नुकसान झाले होते आज गोळेगाव येथील द्राक्ष बागांना भेटी दिल्या व शेतकऱ्यांशी संवाद साधला यावेळी युवा आमदार व अधिकारी उपस्थित होते 
1123, शेतकऱ्यांना रुपये मिळेचिना 
1124, कल्याण डोंबिवलीचे माजी महापौर राजेंद्र देवळेकर यांच्या निधनानं सामाजिक कार्याला वाहून घेतलेलं कार्यशील अभ्यासू व्यक्तिमत्त्व अकाली काळाच्या पडद्याआड गेलं आहे त्यांना भावपूर्ण श्रद्धांजली या दु खातून सावरण्याचं बळ त्यांच्या कुटुंबियांना व सहकारी कार्यकर्त्यांना मिळो हीच प्रार्थना 
1125, बरोब्बर पण ते फक्त प्रचारक नाहीत लाचार खोटारडे प्रचारक आहेत मराठी टीव्ही पत्रकारितेची वाट लावल्याचं श्रेय भाजपला मिळू शकेल बेशरम 
1126, विधानभवनातील गटारात जेव्हा दारूच्या बाटल्या सापडतात तेव्हा कुतूहलाने वाकून पाहताना आमचे विधानसभा अध्यक्ष जलयुक्तविधानभवन पावसाळीअधिवेशन नागपूर अधिवेशन 
1127, फडणवीस सरकारला आश्वासनांची सवय आहे महाराष्ट्र केसरी विजय चौधरीच्या प्रशिक्षकांनी कानउघाडणी केली काँग्रेसतर्फे विजयच्या नोकरीबाबत मागणी करू 
1128, समाजातल्या शेवटच्या माणसापर्यंत पोहोचणाऱ्या पक्षांची ही आघाडी आहे जे समविचारी पक्ष या आघाडीत सामील झाले नाहीत ते भाजपाची बी टीम आहेत लबाडांच्या युतीला जनता या निवडणुकीत घरचा रस्ता दाखवेल असा मला विश्वास वाटतो 
1129, अर्थव्यवस्थेचा घसरणारा डोलारा सावरण्यासाठी मध्ये उपाययोजना केल्याचं दिसत नाही मिनिटांत कर्ज देण्याचं गाजर पुन्हा दाखवलं गेलं शेतकऱ्यांना कर्जाच्या विळख्यातून बाहेर काढून ठोस उत्पन्न मिळावं यासाठी तरतूद नाही बळीराजाला डावलून कृषिप्रधान भारताचा विकास होईल का 
1130, मराठवाड्यातली बहुतांश धरणं कोरडी ठाक पडून पाणीसाठा उणे खाली आहे ही अतिशय गंभीर बाब आहे पाण्याअभावी पेरण्या खोळंबल्यानं शेतकरी चिंतीत आहे जी मराठवाड्याला तातडीनं पाणी पुरवण्यासाठी काही तोडगा निघेल का जेणेकरून शेतीची प्राथमिक कामं मार्गी लागतील 
1131, जलयुक्त शिवार योजनेचा लाभ केवळ कंत्राटदारांना झाला मी भूजल सर्वेक्षण व विकास यंत्रणेच्या अहवालात भूजल पातळी अत्यंत कमी झाली व टँकर ची संख्या वाढली हे पुराव्यानिशी सिद्ध केले होते त्यामुळे या योजनेचा गाशा गुंडाळला याबद्दल महाविकासआघाडी सरकारचे अभिनंदन याची चौकशी ही झाली पाहिजे 
1132, राष्ट्रवादी काँग्रेसच्या हल्लाबोल आंदोलनामुळे तरुणांच्या मनात एक विश्वास निर्माण झाला आहे म्हणून मोठ्या प्रमाणात तरुण वर्ग आमच्या सोबत रस्त्यावर उतरला आहे भाजपने अनेक आश्वासने दिली मात्र त्यांची पूर्तता करण्यास सरकारला यश आले नाही महुद पश्चिममहाराष्ट्र 
1133, येथील स्थानिक मंत्र्यांनी वाचाळता केली बारामती जिंकून दाखवेन नखाची तरी सर आहे का जामनेरचे एक गाव तरी आदर्श करून दाखववा अहो जामनेरकरांना साधं पिण्याच पाणी सुद्धा देऊ शकत नाही तुम्ही काहीही करा पण बारामतीचा नाद करू नका परिवर्तनयात्रा निर्धार परिवर्तनाचा जामनेर 
1134, वृद्ध विधवा आणि अपंग महिन्यात रू महिला जन धन अकाऊंट कोटी महिला प्रति महिने प्रत्येकी रु स्वयं सहायता गट महिन्यापर्यंत लाखापर्यंत कर्ज काम बंद असतांना महिला कर्ज घेऊन करणार काय 
1135, आजपासून मी संत नाही शांत आहे गोतावळ्यातून दुरावलो याची मनात खंत आहे कट करून गाडलेल्या बळीचा मी पुत्र आहे ज्याला फळं त्यालाच दगडं हे जगाचं सूत्र आहे मी खचलो नाही थोडासा टिचलो आहे ते कोण मला 
1136, ‘स्किल इंडिया’ योजना नेहमीप्रमाणे पोकळच का ठरली पकोडे तळणे हेच तरुणांच्या स्वप्नातले स्किल सत्ता आल्यावर दरवर्षी कोटी युवकांचे कौशल्यविकास करण्याचे आश्वासन पंतप्रधान मोदींनी दिले होते त्याचे काय झाले ‘ इंचाच्या छातीवाल्यांसाठी प्रश्न जवाबदो 
1137, इतक्या मोठ्या आणि संवेदनशील प्रकल्पाबाबतीत माहिती दडवण्याचे कारण काय मुख्यमंत्री यांनी तातडीने हा अहवाल राज्य शासनाच्या संकेतस्थळावर प्रकाशित करावा 
1138, मुंबईहून पश्चिम बंगालसाठी रेल्वेगाड्यांची परवानगी रेल्वेने मागितली आहे अद्याप ती मिळालेली नाही मा ममतादीदींना माझी विनंती आहे की त्यांनी ही परवानगी त्वरित द्यावी त्यामुळे श्रमिकांना पायी प्रवास करावा लागणार नाही 
1139, देशाचं संरक्षण करताना लडाख सीमेवर पाटण तालुक्यातील दुसाळे गावचे सुपुत्र महाराष्ट्राचे वीर जवान सचिन संभाजी जाधव यांना वीरमरण आलं त्यांच्या शौर्याला वंदन करतो त्यांना भावपूर्ण श्रद्धांजली जाधव कुटुंबीय आणि दुसाळे ग्रामस्थांच्या दुःखात महाराष्ट्रासह संपूर्ण देश सहभागी आहे 
1140, मुख्यमंत्री बारामतीची जागा जिंकून येण्याची बात करत आहेत बारामतीची जागा जिंकण्याचे स्वप्न पाहणाऱ्या मुख्यमंत्र्यांनी आणि भाजपाच्या नेत्यांनी पहिले नागपूरच्या निकालाची चिंता करावी आपल्या सुप्रियाताईंना विजयी करून मुळशीकरांनी आपलं खणखणीत नाणं मुख्यमंत्र्यांना दाखवावं 
1141, केंद्रातील काही मंत्री सातत्याने संविधान बदलण्याची भाषा करीत असतात याचाच असर्थ सत्तेत असणाऱ्यांचा संविधान बदलावे असा विचार आहे तो त्यांच्या वागण्यातून आणि कृतीतून दिसत असतो परंतु संविधान आमच्या जगण्याचा आणि वागण्याचा विचार आहे आम्ही ते होऊ देणार नाही 
1142, सगळ्याच संकटात मुंबईकरांचे जे स्पिरीट दिसते तेच कोरोनामध्ये दिसले उगाच पालिका आणि सरकारने आम्ही करुन दाखवलेचा दावा करु नये 
1143, मी पुण्यात खडकवासला मतदारसंघातील कोल्हेवाडी परिसरात जाऊन आलो मला असं दिसतंय की लोकांची कच्ची घरं वाहून गेली आहेत घरातलं सगळं सामान वाहून गेल्याने माणसं पूर्णतः उघड्यावर आहेत तात्पुरती पर्यायी व्यवस्था केली गेली आहे 
1144, नाणार येथील रिफायनरीच्या प्रकल्पाचा मुद्दा सध्या राज्यात गाजत आहे उद्योगमंत्री सुभाष देसाई यांनी प्रकल्पासाठी भूमी अधिग्रहण करणाची अधिसूचना रद्द केल्याची घोषणा केली मुख्यमंत्र्यांनी हे त्यांचे व्यक्तिगत मत असल्याची सांगत राज्याला संभ्रमावस्थेत टाकले आहे 
1145, हिंदुस्थानी शास्त्रीय संगीतक्षेत्रातील सुप्रसिद्ध व्हायोलीनवादक पद्मश्री पं डी के दातार यांचे निधन संगीतप्रेमींना हळहळ लावणारे आहे त्यांचे गायकी अंगाने केलेले व्हायोलीनवादन चिरंजीव आहे पं डी के दातार यांना विनम्र आदरांजली 
1146, आज पंतप्रधान इथे येत आहेत पण विरोधी पक्षातील लोकांना नोटीसा पाठवण्यात आल्या आहेत की घराबाहेर पडल्यास अटक करू शासनाने आदेश काढले की मोदी नांदेडमधून जाईपर्यंत कांदा बाजारात आणायचा नाही यांना कांद्याचीही भीती वाटते पण या पद्धतीने लोकशाही घालवण्याचे काम होत आहे 
1147, माजी नौदल अधिकाऱ्यावर हल्ला करणाऱ्यांवर महाराष्ट्र विकास आघाडी सरकारने कारवाई केली पण ज्या भाजपा नेत्यांना आता लोकशाही आठवते त्यांना आठवण करून दिली पाहिजे की फडणवीस परिवाराचा फोटो ट्विट केला म्हणून अजय हातेकरला पोलिसांनी अटक केली होती दांभिक भाजपा 
1148, मुख्यमंत्र्यांनी मांडवली करणे धक्कादायक 
1149, उच्च शिक्षण मंत्री योग्य वेळेचा उदय होण्याची वाट पाहत आहेत आधी परीक्षा रद्द मग गृहपाठ सुरु कोरोना रोखण्यात नापास झालेल्या सरकारचे हे सरासरी वागण सरकार ढ सरकारची इयत्ता फ म्हणून पंधरावर्षे ज्या विद्यार्थ्यांनी तपश्चर्या केली त्यांचे नुकसान का 
1150, आशालता वाबगावकर यांना मालिकेच्या शुटिंगदरम्यान संसर्ग झाल्याचे ऐकण्यात आले राज्य सरकारने शिथीलता देऊन शूटिंगला परवानगी दिली असली तरी सेटवर पूर्ण सुरक्षितता पाळणे अत्यंत आवश्यक असल्याचे या घटनेवरून अधोरेखित होते सर्व कलाकार व तंत्रज्ञांनी काम करताना विशेष काळजी घेतलीच पाहिजे 
1151, दहशतवादाला आळा बसेल असे सांगत मोदींनी नोटाबंदीचा निर्णय घेतला मग पुलवामा हल्ला झालाच कसा पुलवामातील दहशतवादी हल्ल्यातील शहिदांच्या नावे मते मागण्यापेक्षा हल्ल्याची जबाबदारी घ्या याच मोदींनी गब्बर सिंग टॅक्सच्या माध्यमातून जनतेचे पैसेही लुटले आता यांना यांची जागा दाखवा 
1152, आ राम कदम यांच्या महिलांविषयी अश्लाघ्य वक्तव्यावर अद्याप मुख्यमंत्र्यांची प्रतिक्रिया नाही यावरून राम कदम प्रवृत्तीला भाजपाची मूकसंमती आहे असे समजावे का जवाबदो 
1153, मा लोकायुक्तांनी म्हटले की मंत्री म्हणून मेहतांनी निष्पक्षपणे जबाबदारी पार पाडली नाही अशा मंत्र्याचा राजीनामा घेतल्याशिवाय आम्ही सभागृह चालू देणार नाही हा भ्रष्टाचार हिमनगाचे एक टोक आहे भ्रष्टचाराचे थैमान घालणाऱ्या प्रत्येक मंत्र्यांच्या गैरकारभार आम्ही बाहेर काढू 
1154, सैनिकांच्या पत्नीबाबत अभद्र वक्तव्य करणाऱ्या भाजपच्या आमदार प्रशांत परिचारकचे निलंबन मागे घेण्याचा सरकारचा डाव होता मात्र आम्ही याचा कडाडून विरोध केला आणि सरकारचा हा डाव उधळून टाकला सैनिकांचा व त्यांच्या कुटुंबियांचा अपमान करणाऱ्यांना कदापी माफ केले जाणार नाही 
1155, मी गुदमरलो होतो म्हणून त्या घरी गेलो असे सांगत इथल्या नेतृत्वाने नवा घरोबा केला ज्यांना तीन वेळा मंत्री केलं सत्तेची ऊब आणि शक्ती दिली ते असं वागले बीड 
1156, बघा भाजपाचे प्रवक्ते आठवलेंची किती इज्ज्त काढतात 
1157, पवार साहेबांच्या समर्थनार्थ आंदोलनातील क्षण मोदी शाह यांना विनाशकाले विपरीत बुद्धी आलेली आहे भाजपाच्या विनाशकालाची सुरुवात झाली आहे 
1158, ‘फसणवीस सरकार’ राज्यातील जनतेशी ‘ब्ल्यू व्हेल’ गेम खेळतंय काँग्रेस 
1159, मुंबईचे माजी नगरपाल पद्मश्री नाना चुडासमा यांच्या निधनाने मुंबईच्या सामाजिक सांस्कृतीक शैक्षणिक क्षेत्रात भरीव योगदान देणारे व मुंबई शहराच्या विकासासाठी अविरत कार्यरत असणारे ज्येष्ठ समाजसेवक काळाच्या पडद्याआड गेले नाना चुडासमा यांना भावपूर्ण श्रद्धांजली 
1160, सोयाबीनला हजार रु भाव मिळवून देऊ असं आश्वासन मुख्यमंत्री यांनी दिलेलं कधी मिळणार भाव या सरकारच्या कार्यकाळाची मुदत संपत आली तरी कापूस तूरडाळ यांसह अन्य शेतमालाला अजून योग्य भाव मिळालेला नाही हे सरकार येत्या निवडणुकीत आणखी मोठं गाजर दाखवणार शिवस्वराज्ययात्रा 
1161, बीडच्या केज तालुक्यात मांगवडगाव येथे शेतीच्या वादातून पारधी समाजातील तीन जणांची निर्घृण हत्या झाल्याची घटना नुकतीच उघडकीस आली आहे या अमानुष प्रकाराचा तीव्र निषेध तसेच या प्रकरणाची सखोल चौकशी करून गुन्हेगारांना कठोर शिक्षा करावी 
1162, नाशिकात कांद्याला भाव कमी दिल्या मुळे संतप्त शेतकर्याने रस्तावर ओतलेला माल कांदा रूपये किलो झाला म्हणून 
1163, कोरोनाच्या काळात समाजातील अनेक घटक आर्थिक संकटात असताना एकाही घटकासाठी राज्य सरकारने आर्थिक मदतीसाठी पुढाकार घेतला नाही मदत करू शकत नसाल तर किमान त्यांच्यावर आर्थिक भूर्दंड तरी लादू नका माझी पुन्हा एकदा विनंती आहे सामान्य नागरिकांना या वाढीव वीजबिलांतून तत्काळ दिलासा द्यावा 
1164, लोकसभेत वायू प्रदूषण आणि वातावरण बदल या विषयावरील चर्चेत भाग घेतला यावेळी बारामती लोकसभा मतदारसंघातील हिंजवडी येथील वायूप्रदूषणाचा मुद्दा चर्चेदरम्यान उपस्थित केला या भागात विषारी वायू हवेत सोडणारा एकही कारखाना नाही पण तरीही या भागातील वायूप्रदूषणाची पातळी गंभीर स्वरुपाची आहे 
1165, माजी पंतप्रधान स्व इंदिराजी गांधी यांच्याविषयी संजय राऊत यांनी चुकीची विधाने केली आहेत स्व इंदिराजी गांधी यांचे देशप्रेम सर्वश्रृत आहे त्याविषयी शंका घ्यायला देखील वाव नाही कितीही मोठी किंमत चुकवावी लागली तरी चालेल पण त्यांच्याबद्दल अपशब्द आम्ही खपवून घेणार नाही 
1166, मित्राला लाचारासारखं वागवणं हे कृतघ्नतेचे लक्षण आहे 
1167, ज्येष्ठ चित्रपट दिग्दर्शक बासू चटर्जी यांचं निधन हे माझ्यासारख्या असंख्य चित्रपट रसिकांसाठी मोठा धक्का आहे त्यांनी दिग्दर्शित केलेले चित्रपट हे भारतीय चित्रपटसृष्टीतील अमर कलाकृती आहेत चित्रपटांच्या माध्यमातून ते आपल्याला सदैव निखळ आनंद देत राहतील त्यांना भावपूर्ण श्रद्धांजली 
1168, विदर्भातील चंद्रपुर नागपुर गडचिरोली भंडारा गोंदिया तसेच राज्यातील इतर भागांतही मुसळधार पावसामुळे जनजीवन विस्कळीत होत आहे मी माझ्या युवक काॅंग्रेसच्या सर्व सहकाऱ्यांना विनंती करतो की त्यांना स्थानिक प्रशासनाच्या मदतीने जनतेची काळजी घ्यावी जनसेवा हिच ईश्वरसेवा 
1169, आजच्या मध्ये प्रसिद्ध झालेला पंचनामा फसव्या कर्जमाफीचा या माझ्या लेखाचा पूर्वार्ध उत्तरार्ध उद्याच्या अंकात 
1170, चुकीच्या धोरणांमुळे शेअर बाजार घसरलाय अनेक गुंतवणुकदारांचे लाखो कोटी रुपये बुडाले महाराष्ट्राला अधोगतीकडे नेणारं हे सरकार आहे बेरोजगारीकडे नेणारं हे सरकार आहे माझ्या नाशिकमधल्या मायको सीएट आणि महिंद्रा कंपन्या डबघाईला आल्यात हे सरकारचं अपयश नाही का शिवस्वराज्ययात्रा 
1171, भाजपा च्या व आर एस एसच्या कोणत्याही नेत्याला आणि कार्यकर्त्याला मोक्ष मिळणे अशक्य आहे भगवान कृष्णाने भगवद्गीतेमध्ये सांगितलेल्या मार्गाच्या विरोधी हे सर्व लोक आहेत तमाम हिंदू बांधवांना चुकीच्या दिशेकडे घेऊन जाण्याचा त्यांचा प्रयत्न आहे तो हाणून पाडला पाहिजे 
1172, फडणवीस सरकारने मंत्रीमंडळात ठराव करून आयएनएस विराट युद्ध नौका वस्तुसंग्रहालयात रुपांतरीत करण्याचा निर्णय घेतला होता तो ही जुमलाच ठरला 
1173, विकृत व द्वेषपूर्ण विचारधारा देशावर सध्या राज्य करीत असताना अजून काय अपेक्षित आहे कर्तृत्वशून्य आपली रेषा मोठी करण्याऐवजी दुसऱ्यांची कमी कशी होईल हे पाहत राहतात 
1174, जुमलेबाजी आज पंतप्रधान सिडको महागृहनिर्माण योजना चे भूमिपूजन करत आहेत ही योजना नवी मुंबईतील जागांवर होणार आहे मग त्याचे भूमिपूजन कल्याणला कसे होऊ शकते अजून ही सदर योजनेचे टेंडर ही निघालेले नाही केवळ निवडणुका जवळ आल्या म्हणून हे नाटक सुरू आहे 
1175, आज भ्रष्टाचारी व लाचारी प्रवृत्तींची अभद्र युती झाली उद्धव ठाकरे यांच्या म्हणण्यानुसार अफजल खान उर्फ अमित शाह व अमित शाह यांच्या म्हणण्यानुसार उंदीर उर्फ उद्धव ठाकरे यांनी युतीची घोषणा केली आहे ही राफेल चोर आणि लाचाराची युती आहे 
1176, मधल्या काळात एका केंद्रीय मंत्र्यांने जाहीरपणे कर्नाटकामध्ये संविधान बदलाची भाषा केली संविधान बदलाची भाषा करणाऱ्यांना संविधानाने दिलेल्या मूलभूत अधिकारांवर गदा आणायची आहे मुठभर लोकांच्या हातामध्ये या देशाची सूत्रं द्यायची आहेत पण हा देश हे कधी स्वीकारणार नाही संविधान दिवस 
1177, औरंगाबादमध्ये मोदींनी फसव्या योजनांचे यान आज लँड केले पाईपलाईनद्वारे गॅस देणार जल जीवन योजना सरकारच्या योजना म्हणजे जुमल्यांचा मृगजळ कंपन्या उद्ध्वस्त होत आहे तरुण उद्योजक आत्महत्या करत आहेत आर्थिक मंदी बेरोजगारीचा भस्मासुर बोकळालाय त्यावर बोलण्याची तसदी घ्या 
1178, राज्य केंद्राकडे बोट दाखवतंय केंद्र राज्यांकडे बोट दाखवतंय पण लोकांना ह्याविषयी देणं घेणं नाही लोकांची एकच अपेक्षा आहे की आम्हाला ह्या बंदीवासातून मानसिक विवंचनेतून सोडवा 
1179, मोदींची कॅशलेस इंडिया ही संकल्पना प्रत्यक्षात ‘मजूर शेतकरी छोटे व्यापारी’ मुक्त भारताची आहे नोव्हेंबर रोजीच्या नोटबंदीच्या निर्णयाचा भयंकर दुष्परिणाम ऑगस्ट ला दिसला यामुळे घसरणीसोबतच देशाची असंघटीत अर्थव्यवस्था उद्ध्वस्त झाली 
1180, इरफान खान यांनी त्यांचं पूर्ण आयुष्य कलेसाठी वाहिलं तर कपूर कुटुंबीय व देशातील जनतेचे नाते हे आगळेवेगळे आहे ऋषी कपूर आज आपल्यात नाहीत या दोन्ही कलाकांराचा सन्मान आपल्या देशात तसेच जागतिक स्तरावरही होत होता या दोन्ही महान कलाकारांना मी श्रद्धांजली व कृतज्ञता अर्पण करतो 
1181, निवडणुकीत किती टोकाची मतं मांडायची याला काही मर्यादा असते पण यावेळी प्रचाराची सीमा विरोधकांकडून ओलांडली गेली जे पक्ष सोडून गेले आणि निवडणुकीत सत्ताधारी पक्षाकडून उभे राहिले त्यांच्या बाजूने जनतेने कौल दिलेला नाही हे स्पष्ट झालंय 
1182, ज्येष्ठ रंगकर्मी प्रा मधुकर तोरडमल यांच्या निधनाने मराठी रंगभूमी चित्रपटसृष्टी समृद्ध करणारे एक अष्टपैलू व्यक्तिमत्त्व आपण गमावले आहे 
1183, फडणवीस सरकारने केलेली कर्जमाफी ही बोगस होती हे मुख्यमंत्र्यांनी स्वत मान्य केले आहे भाजपा शिवसेनेचा पुन्हा जनतेची विशेषतः शेतकऱ्यांची फसवणूक करण्यासाठी येत आहे 
1184, मुंबई हे शासन आणि महापालिका पुरस्कृत अपघातांचे शहर झाले आहे भाजप शिवसेनेच्या दळभद्री कारभारामुळे मुंबईकरांचे जगणे कठीण आणि मरण सोपे झाले आहे पूल कोसळण्याच्या व आगीच्या घटनांमध्ये मुंबईकर मारले जात असून याची जबाबदारी घेतली जात नाही हे संतापजनक आहे 
1185, दुष्काळाबाबत चर्चा व्हावी अर्थसंकल्पाबाबत चर्चा व्हावी अशी आमची ईच्छा होती मात्र देशाच्या संरक्षणासाठी अधिवेशन स्थगितीला विरोधी पक्षाने अनुमोदन दिले विविध पक्षाचे राजकीय कार्यक्रम होत असेल तर ते सरकारने थांबवणे गरजेचे आहे अशी सूचना केली अशा परिस्थिती राजकारण करणे शोभत नाही 
1186, जुन महाराष्ट्रातील सर्व शेतकरी रेल्वे रुळावर असे आंदोलन करुया की दिल्ली हादरली पाहिजे 
1187, दुधाचे दर दोन रुपयांनी कमी झाले आहेत आधीच दुधाचे उत्पादन घटले शेतकरी वर्गावर हे एक मोठे संकट आले आहे विम्याचे पैसे मिळालेले नाहीत फळबागा जळून गेल्या आहेत त्यासाठी कोणतेही अनुदान नाही त्या वाचवणे ही सुद्धा समस्या आहे अशा अनेक अडचणी शेतकऱ्यांनी यावेळी बोलून दाखवल्या 
1188, मंत्रालयात संविधानाचे निर्माते डाॅ बाबासाहेब आंबेडकर यांचे तैलचित्र व संविधानाचे प्रास्ताविक लावण्यासंदर्भात वर्षभरापुर्वी प्रशासन स्तरावरील कार्यवाही पुर्ण करण्यात आली मात्र मुख्यमंत्र्यांकडे वर्षभरापासुन हा प्रस्ताव प्रलंबित पडला आहे मुख्यमंत्र्यांकडे यासाठी वेळ नाही का 
1189, शिवस्मारकाच्या पायाभरणीसाठी जाणा या बोटीला झालेला अपघात अत्यंत दुर्देवी आहे हा प्रकार केवळ अपघातच आहे की घातपात कालच आ विनायक मेटे यांनी शिवस्मारकात अनियमितता असल्याचा आरोप करून चौकशीची मागणी करणे आणि आज हा अपघात हे संशयास्पद आहे हा मेटेंना शांत करण्याचा प्रयत्न आहे का 
1190, आयुष्यमान भारत योजना म्हणजे महाराष्ट्रातील गरिब जनतेची क्रूर थट्टा आयुष्यमान भारत योजना खासगी विमा कंपन्यांच्या फायद्यासाठी मोठं मोठी स्वप्ने दाखवण्यापेक्षा पंतप्रधानांनी पायाभूत आरोग्य सुविधा सुधाराव्यात फेसबुक वर वाचा 
1191, असं असेल तर जगातील कोणतंच सरकार आपल्याला वाचवू शकणार नाही 
1192, पश्चिम महाराष्ट्रातील महापुराची भयावहता आणि लोकांचे झालेले प्रचंड हाल पाहून पत्रकारांनाही आपल्या भावनांवर नियंत्रण ठेवता आलं नाही पण राज्याच्या मंत्र्यांकडे मात्र ही संवेदनशीलता दिसून येऊ नये हे महाराष्ट्राचं दुर्दैव आहे 
1193, आपल्यापेक्षा अधिक बेमालूम व मायावी पध्दतीने रंग बदलणारे आणि हे पक्ष सत्तेत असल्याचे पाहून महाराष्ट्रातील समस्त सरड्यांनी शरम वाटून सामुहीक आत्महत्या करण्याचे ठरविले आहे असे समजते 
1194, हा अंदाज आहे की निवडणूक आयोगाला दिलेला आदेश आहे ते देवच जाणे निवडणुकीच्या वेळापत्रकापासून अगदी निकालापर्यंत भाजप नेत्यांचे आजवर खरे ठरलेले अनेक अंदाज पाहता शंका घ्यायला पुरेसा वाव आहे सर्वज्ञानीभाजपा 
1195, नोकरी सोबत साहित्य क्षेत्रातील आपली आवड जोपासत मराठी साहित्य क्षेत्रात आपला अमिट ठसा उमटविणारे आणि नाशिकच्या साहित्य क्षेत्राला अधिक बळकट करणारे कवी किशोर पाठक यांच्या निधनामुळे मराठी साहित्य क्षेत्राची मोठी हानी झाली आहे दिवंगत पाठकजी यांना भावपूर्ण श्रद्धांजली 
1196, देशात अनेक राज्यात शहरात याविरोधात मोर्चे सुरू आहेत असेच सुरू राहिले तर माझी खात्री आहे की योग्य वेळी लोक झारखंड सारखेच उत्तर भाजपाला देतील आता लोकचळवळ सुरू होत आहे संघर्षाची तीव्रता वाढते आहे 
1197, घराबाहेर न पडणारे पालकमंत्री बेजबाबदार प्रशासन आणि मुंबई महापालिकेच्या सत्ताधाऱ्यांचा चेहरा या आरशात दिसतोय का पहा मुंबई सारख्या शहरात अशा घटना रोज कुठेना कुठे घडत आहेत सरकार आणि प्रशासनाच्या मानवी संवेदनाचाही लॉकडाऊन झालाय की काय 
1198, मुंबई सर्वाधिक वायू प्रदूषित शहर आणि वायू प्रदूषणामुळे महाराष्ट्रात सर्वाधिक अपमृत्यू झाल्याची माहिती अतिशय चिंताजनक आहे याला मानवनिर्मित घटक कारणीभूत आहेत प्रदूषणाला आळा कसा बसेल यावर राजकीय लोकप्रतिनिधी आणि जनतेनंही गांभीर्यानं विचार केला पाहिजे 
1199, अडचणीत असलेल्या पालकांना नाहक भुर्दंड सोसावा लागणार आहे त्यामुळे केवळ शैक्षणिक शुल्क आकारण्यात यावे तसेच सप्टेंबरपर्यंत शैक्षणिक शुल्क भरण्यासाठी मुदतवाढ आणि हप्त्याने शुल्क भरण्याची मुभा द्यावी अशी मागणी पत्रात केली आहे 
1200, शुन्य झालोय निशब्द झालोय आर्वी येथील प्रकरण माणुसकीला काळीमा फासणारे आहे ही जातीयवादी ढोरं अजून किती निष्पापांना त्रास देणार सरकारने या प्रकरणात दखल घेऊन गुन्हेगारांवर कडक कारवाई करावी 
